,ÇÃ.ê⁄ë±èïéå.,Ç.äièïéå.,ÇÕ.ïõèïéå.,Ç….äièïéå.,Ç∆.äièïéå.,Ç™.äièïéå.,Ç‡.ïõèïéå.,ÇÃ.äièïéå.,Ç÷.äièïéå.,Ç©.ê⁄ë±èïéå.,Ç™.ê⁄ë±èïéå.,Ç»Ç™ÇÁ.ê⁄ë±èïéå.,Ç≈.äièïéå.,Ç©ÇÁ.äièïéå.,Ç‚.ê⁄ë±èïéå.,Ç≈Ç‡.ïõèïéå.,Ç….ê⁄ë±èïéå.,Ç©ÇÁ.ê⁄ë±èïéå.,ÇæÇØ.ïõèïéå.,ÇÊÇË.äièïéå.,Ç‹Ç‹.ê⁄ë±èïéå.,Ç‹ÇΩ.ê⁄ë±èïéå.,ÇŒÇ©ÇË.ïõèïéå.,Ç≥Ç¶.ïõèïéå.,ñî.ê⁄ë±èïéå.,Ç¡Çƒ.ïõèïéå.,Ç‹Ç≈.äièïéå.,Ç»Ç«.ïõèïéå.,Ç»ÇË.ê⁄ë±èïéå.,Ç©Ç‡.ê⁄ë±èïéå.,ÇæÇÃ.ê⁄ë±èïéå.,Ç∆.ê⁄ë±èïéå.,Ç©.èIèïéå.,ÇÊÇË.ê⁄ë±èïéå.,ÇµÇ©.ïõèïéå.,Ç‹Ç≈.ê⁄ë±èïéå.,ÇÃÇ›.ïõèïéå.,Ç»ÇÁ.ïõèïéå.,Ç‚ÇÁ.ê⁄ë±èïéå.,OTHERS,y
T09-07,0.220363636,0.140363636,0.144,0.140363636,0.045090909,0.076363636,0.042909091,0.021090909,0.037090909,0.025454545,0.019636364,0.026181818,0.002181818,0.017454545,0.003636364,0.001454545,0.001454545,0.005090909,0.006545455,0.002181818,0.008,0.003636364,0.001454545,0.000727273,0,0.003636364,0.001454545,0,0.000727273,0.000727273,0,0,0,0,0,0,0,0,0,0.000727273,1920
T09-10,0.153078775,0.177846577,0.151358789,0.127966976,0.07120743,0.07877537,0.035431717,0.018575851,0.04368765,0.016167871,0.016167871,0.025799794,0.005847953,0.014791882,0.007567939,0.004471964,0.003439972,0.004471964,0.003439972,0.00619195,0.009631923,0.004471964,0.001375989,0.001719986,0,0.004471964,0.002063983,0.001031992,0.003439972,0.002063983,0,0.000343997,0.000687994,0.001031992,0,0.000343997,0,0,0,0.001031992,1920
T09-12,0.190839695,0.152671756,0.152671756,0.114503817,0.038167939,0.083969466,0.053435115,0.022900763,0.015267176,0.015267176,0.007633588,0.015267176,0.007633588,0.022900763,0.022900763,0.007633588,0,0.015267176,0,0.007633588,0.007633588,0.015267176,0.007633588,0,0,0.015267176,0,0.007633588,0,0,0,0,0,0,0,0,0,0,0,0,1920
T09-12b,0.114825581,0.090116279,0.13372093,0.11627907,0.110465116,0.111918605,0.058139535,0.029069767,0.034883721,0.033430233,0.033430233,0.005813953,0.007267442,0.020348837,0.004360465,0.004360465,0.00872093,0.015988372,0.004360465,0.002906977,0.001453488,0.005813953,0.011627907,0.007267442,0,0.00872093,0.011627907,0,0,0.002906977,0,0,0.001453488,0,0.001453488,0.002906977,0,0,0,0.004360465,1920
T09-12c,0.190891473,0.140503876,0.162790698,0.120155039,0.067829457,0.078488372,0.041666667,0.028100775,0.043604651,0.019379845,0.015503876,0.028100775,0.001937984,0.013565891,0.012596899,0.005813953,0.001937984,0.000968992,0.003875969,0.001937984,0,0,0.004844961,0,0.003875969,0,0,0,0.001937984,0,0.003875969,0,0,0,0.000968992,0.000968992,0.000968992,0,0,0.002906977,1920
T10-01,0.17623498,0.142857143,0.160213618,0.113484646,0.064085447,0.069425901,0.045393858,0.016021362,0.042723632,0.03070761,0.022696929,0.021361816,0.00400534,0.022696929,0.00400534,0.013351135,0.001335113,0.00400534,0.002670227,0,0.013351135,0,0.00400534,0.002670227,0.002670227,0.005340454,0.001335113,0,0.00400534,0,0,0,0.005340454,0,0,0.001335113,0,0,0,0.002670227,1921
T10-08,0.175050302,0.151911469,0.143863179,0.143863179,0.052313883,0.067404427,0.049295775,0.035211268,0.031187123,0.030181087,0.013078471,0.020120724,0.005030181,0.011066398,0.006036217,0.004024145,0.003018109,0.002012072,0.006036217,0.004024145,0.009054326,0.012072435,0.003018109,0.005030181,0,0,0.003018109,0,0.005030181,0.002012072,0,0,0.002012072,0,0.001006036,0,0,0,0,0.003018109,1921
T10-09,0.200260078,0.140442133,0.157347204,0.145643693,0.059817945,0.074122237,0.046814044,0.016905072,0.024707412,0.019505852,0.014304291,0.023407022,0.00130039,0.010403121,0.010403121,0.00260078,0.00130039,0.00130039,0.00390117,0.007802341,0.011703511,0,0.00260078,0.00390117,0.00130039,0.00520156,0,0,0.00390117,0.00260078,0,0,0.00390117,0,0,0,0.00130039,0,0,0.00130039,1921
T10-12,0.153846154,0.120107962,0.168690958,0.149797571,0.076923077,0.060728745,0.059379217,0.026990553,0.013495277,0.024291498,0.02294197,0.020242915,0.001349528,0.008097166,0.008097166,0.008097166,0.001349528,0.008097166,0.006747638,0.004048583,0.008097166,0.008097166,0.008097166,0.006747638,0,0.004048583,0.002699055,0.002699055,0.004048583,0.002699055,0,0,0,0,0,0,0,0,0,0.009446694,1921
T10-12b,0.190741774,0.152258784,0.170663692,0.146123815,0.059118795,0.06469604,0.034578918,0.031232571,0.029001673,0.019520357,0.01617401,0.017847183,0.002788622,0.014500837,0.006134969,0.002788622,0.004461796,0.002230898,0.005577245,0.002230898,0.008923592,0.002788622,0.002230898,0.00501952,0,0.003346347,0,0.001115449,0.000557724,0,0.001115449,0.000557724,0,0.001115449,0,0,0,0,0,0.000557724,1921
T10-12c,0.19266055,0.144167759,0.175622543,0.127129751,0.056356488,0.069462647,0.028833552,0.022280472,0.027522936,0.027522936,0.022280472,0.01965924,0.002621232,0.014416776,0.011795544,0.002621232,0.003931848,0.003931848,0.003931848,0.00655308,0.00655308,0.00655308,0,0.003931848,0,0.001310616,0.002621232,0,0.001310616,0.003931848,0.00655308,0,0,0,0.001310616,0,0,0,0,0.002621232,1921
T10-12d,0.140148392,0.111294312,0.199505359,0.127782358,0.070074196,0.060181369,0.061830173,0.023907667,0.031327288,0.039571311,0.023083265,0.005770816,0.007419621,0.008244023,0.004946414,0.011541632,0.007419621,0.014839242,0.014839242,0.000824402,0.006595218,0.002473207,0.002473207,0.004122012,0,0.002473207,0.001648805,0,0.004946414,0.001648805,0,0,0,0.002473207,0,0.001648805,0,0,0.000824402,0.004122012,1921
T10-9,0.200260078,0.140442133,0.157347204,0.145643693,0.059817945,0.074122237,0.046814044,0.016905072,0.024707412,0.019505852,0.014304291,0.023407022,0.00130039,0.010403121,0.010403121,0.00260078,0.00130039,0.00130039,0.00390117,0.007802341,0.011703511,0,0.00260078,0.00390117,0.00130039,0.00520156,0,0,0.00390117,0.00260078,0,0,0.00390117,0,0,0,0.00130039,0,0,0.00130039,1921
T11-02,0.151651652,0.138138138,0.177177177,0.141141141,0.076576577,0.061561562,0.057057057,0.027027027,0.039039039,0.009009009,0.01951952,0.025525526,0.007507508,0.007507508,0.006006006,0.004504505,0.006006006,0.007507508,0.003003003,0.001501502,0.003003003,0.001501502,0.001501502,0.003003003,0.004504505,0.001501502,0.006006006,0.003003003,0.001501502,0,0.003003003,0,0,0.001501502,0,0.001501502,0,0,0,0.001501502,1922
T11-03,0.141342756,0.148409894,0.183745583,0.102473498,0.098939929,0.038869258,0.060070671,0.014134276,0.035335689,0.017667845,0.021201413,0.035335689,0.010600707,0.014134276,0,0.010600707,0.017667845,0.021201413,0.003533569,0,0.007067138,0,0.003533569,0,0.003533569,0,0.003533569,0,0,0,0,0,0,0,0,0,0,0,0,0.007067138,1922
T11-03b,0.166954519,0.122625216,0.176741508,0.127230858,0.064478987,0.039147956,0.069660334,0.033390904,0.023603915,0.034542314,0.022452504,0.010362694,0.010362694,0.006908463,0.006332758,0.013816926,0.009786989,0.009211284,0.005757052,0.001727116,0.004605642,0.001727116,0.008059873,0.006908463,0,0.002878526,0.000575705,0.000575705,0.002878526,0.002878526,0,0,0.004605642,0.00115141,0,0,0,0.000575705,0,0.007484168,1922
T11-06,0.160775371,0.128848347,0.180159635,0.160775371,0.060433295,0.052451539,0.0672748,0.035347777,0.022805017,0.019384265,0.006841505,0.012542759,0.002280502,0.005701254,0.018244014,0.01368301,0.003420753,0.004561003,0.006841505,0.002280502,0,0,0.004561003,0.002280502,0.010262258,0.005701254,0,0,0.004561003,0,0.003420753,0.001140251,0,0.001140251,0.001140251,0,0,0,0,0.001140251,1922
T11-07,0.153477218,0.149880096,0.184652278,0.159472422,0.074340528,0.023980815,0.075539568,0.023980815,0.035971223,0.021582734,0.027577938,0.01558753,0.001199041,0.010791367,0.010791367,0.001199041,0.005995204,0.002398082,0.005995204,0.004796163,0,0,0.001199041,0.001199041,0.002398082,0,0,0,0.003597122,0,0,0,0,0,0,0,0,0,0,0.002398082,1922
T11-07b,0.174515235,0.119113573,0.20498615,0.105263158,0.105263158,0.033240997,0.055401662,0.03601108,0.024930748,0.030470914,0.013850416,0.019390582,0.005540166,0.013850416,0.008310249,0,0,0.008310249,0.002770083,0.005540166,0.002770083,0.005540166,0,0.002770083,0,0.008310249,0,0.002770083,0.002770083,0,0,0,0,0,0.002770083,0,0,0,0,0.005540166,1922
T11-08,0.176646707,0.136227545,0.170658683,0.128742515,0.082335329,0.031437126,0.067365269,0.031437126,0.02245509,0.031437126,0.011976048,0.019461078,0.002994012,0.00748503,0.013473054,0.002994012,0.002994012,0.00748503,0.002994012,0,0.00748503,0.013473054,0.001497006,0.008982036,0,0.005988024,0,0.002994012,0.001497006,0.001497006,0.001497006,0,0.001497006,0,0,0,0,0,0,0.002994012,1922
T11-08b,0.173387097,0.16733871,0.184475806,0.140120968,0.049395161,0.025201613,0.050403226,0.027217742,0.037298387,0.035282258,0.022177419,0.023185484,0,0.008064516,0.01108871,0.005040323,0.002016129,0.001008065,0.004032258,0.003024194,0,0,0.001008065,0.004032258,0.009072581,0.002016129,0.002016129,0,0.007056452,0,0.003024194,0,0,0,0.001008065,0,0,0,0,0.001008065,1922
T11-09,0.177172061,0.151618399,0.195911414,0.134582624,0.052810903,0.02725724,0.056218058,0.022146508,0.042589438,0.023850085,0.01362862,0.018739353,0.005110733,0.010221465,0.005110733,0.003407155,0.001703578,0.008517888,0,0.005110733,0.008517888,0.011925043,0.003407155,0.003407155,0,0.001703578,0,0,0.00681431,0.001703578,0,0.001703578,0,0.003407155,0,0,0,0,0,0.001703578,1922
T11-12,0.252302026,0.099447514,0.152854512,0.130755064,0.077348066,0.082872928,0.064456722,0.018416206,0.016574586,0.016574586,0.005524862,0.011049724,0.014732965,0.007366483,0.007366483,0.007366483,0,0.003683241,0.003683241,0,0,0,0.003683241,0,0.011049724,0,0.001841621,0,0,0,0.005524862,0.003683241,0,0,0,0,0,0.001841621,0,0,1922
T12-02,0.209359606,0.145320197,0.177339901,0.13546798,0.098522167,0.019704433,0.049261084,0.012315271,0.002463054,0.044334975,0.009852217,0.002463054,0,0.014778325,0.007389163,0.004926108,0,0.007389163,0.004926108,0.004926108,0,0.002463054,0.004926108,0.002463054,0.004926108,0.002463054,0,0.007389163,0.002463054,0.007389163,0,0,0,0,0.004926108,0,0.002463054,0.002463054,0,0.004926108,1923
T12-02b,0.142452162,0.133947555,0.167965982,0.133238838,0.083628632,0.031892275,0.074415308,0.02551382,0.030474841,0.029766123,0.024805103,0.014174344,0.005669738,0.004961021,0.005669738,0.006378455,0.010630758,0.014883062,0.01275691,0.002126152,0,0,0.005669738,0.004961021,0.006378455,0.001417434,0,0.004961021,0.004961021,0.000708717,0,0.000708717,0.004252303,0.000708717,0.000708717,0.000708717,0.000708717,0,0,0.007795889,1923
T12-03,0.172169811,0.20990566,0.162735849,0.146226415,0.049528302,0.028301887,0.054245283,0.035377358,0.025943396,0.016509434,0.007075472,0.021226415,0.002358491,0.007075472,0.007075472,0.004716981,0.002358491,0.002358491,0.007075472,0.004716981,0.009433962,0.002358491,0,0.004716981,0,0,0.002358491,0.002358491,0.007075472,0.002358491,0,0,0,0,0,0,0,0,0,0.002358491,1923
T12-04,0.152139461,0.159270998,0.190174326,0.141045959,0.076069731,0.041204437,0.0340729,0.021394612,0.0340729,0.031695721,0.016640254,0.019809826,0.002377179,0.009508716,0.006339144,0.003169572,0.006339144,0.005546751,0.004754358,0.003961965,0.006339144,0.007131537,0.003961965,0.001584786,0,0,0.002377179,0.002377179,0.002377179,0.003169572,0.003961965,0,0,0.002377179,0.001584786,0,0,0,0,0.003169572,1923
T12-07,0.126943005,0.165803109,0.202072539,0.160621762,0.075129534,0.041450777,0.056994819,0.028497409,0.018134715,0.020725389,0.005181347,0.016839378,0.001295337,0.005181347,0.007772021,0,0.011658031,0.00388601,0.005181347,0.002590674,0.006476684,0.005181347,0.006476684,0,0,0.00388601,0,0.007772021,0,0.001295337,0.002590674,0,0,0.002590674,0.002590674,0,0.001295337,0,0,0.00388601,1923
T12-07b,0.180169287,0.158403869,0.175332527,0.128174123,0.07496977,0.044740024,0.048367594,0.026602177,0.048367594,0.020556227,0.007255139,0.012091898,0.00120919,0.006045949,0.009673519,0.00362757,0.007255139,0.00241838,0.00120919,0,0.007255139,0,0.00241838,0.007255139,0.008464329,0.00120919,0.00120919,0.004836759,0.00362757,0.00120919,0,0.00120919,0,0,0,0,0,0,0,0.004836759,1923
T12-09,0.150753769,0.16080402,0.195979899,0.128978224,0.070351759,0.018425461,0.067001675,0.045226131,0.016750419,0.033500838,0.006700168,0.008375209,0,0.008375209,0.001675042,0.001675042,0.006700168,0,0.006700168,0.001675042,0.003350084,0.015075377,0.010050251,0.003350084,0,0.001675042,0,0.010050251,0.001675042,0.011725293,0.003350084,0.001675042,0.003350084,0,0,0,0,0,0,0.005025126,1923
T12-11,0.167405765,0.176274945,0.194013304,0.140798226,0.042128603,0.018847007,0.076496674,0.032150776,0.034368071,0.023281596,0.012195122,0.011086475,0,0.011086475,0.006651885,0,0.00443459,0.002217295,0.00443459,0,0.009977827,0,0.003325942,0.005543237,0.003325942,0.002217295,0.001108647,0.00886918,0.001108647,0.001108647,0.003325942,0,0,0,0,0,0,0,0,0.002217295,1923
T12-12,0.158301158,0.164092664,0.19015444,0.146718147,0.055984556,0.007722008,0.069498069,0.033783784,0.041505792,0.027027027,0.00965251,0.008687259,0.001930502,0.00965251,0.007722008,0.008687259,0.004826255,0,0.004826255,0.006756757,0.002895753,0,0.010617761,0,0.010617761,0,0,0.005791506,0.004826255,0,0,0,0,0.000965251,0.001930502,0.000965251,0,0,0,0.003861004,1923
T12-12b,0.167002012,0.193158954,0.193158954,0.144869215,0.070422535,0.012072435,0.040241449,0.048289738,0.030181087,0.016096579,0.014084507,0.006036217,0,0.010060362,0,0.002012072,0.002012072,0.00804829,0.004024145,0,0.006036217,0.006036217,0.006036217,0.002012072,0,0.004024145,0,0.002012072,0.004024145,0.002012072,0,0,0.002012072,0.002012072,0,0,0,0,0,0.002012072,1923
T13-01,0.201438849,0.167865707,0.189448441,0.117505995,0.074340528,0.009592326,0.047961631,0.035971223,0.040767386,0.014388489,0.016786571,0.011990408,0.004796163,0.004796163,0.004796163,0.002398082,0.002398082,0.002398082,0.002398082,0.002398082,0.007194245,0.014388489,0.007194245,0.002398082,0,0,0,0,0.004796163,0.002398082,0,0,0,0.002398082,0,0,0,0,0,0.004796163,1924
T13-03,0.192432432,0.170810811,0.193513514,0.136216216,0.056216216,0.011891892,0.054054054,0.038918919,0.034594595,0.012972973,0.010810811,0.006486486,0.002162162,0.008648649,0.003243243,0.002162162,0.005405405,0.005405405,0.005405405,0.007567568,0.006486486,0.005405405,0.007567568,0.004324324,0,0.001081081,0.001081081,0.00972973,0,0,0.002162162,0,0,0,0,0.001081081,0,0,0,0.002162162,1924
T13-04,0.214285714,0.154017857,0.1875,0.165178571,0.058035714,0.008928571,0.053571429,0.040178571,0.024553571,0.017857143,0.006696429,0.006696429,0.002232143,0.011160714,0.004464286,0.008928571,0.002232143,0,0.002232143,0.004464286,0.002232143,0.004464286,0.004464286,0.002232143,0,0.002232143,0,0.002232143,0.002232143,0,0,0,0,0,0.002232143,0,0,0,0,0.004464286,1924
T13-04b,0.209302326,0.152698552,0.176393155,0.131197894,0.060552874,0.006143045,0.058797718,0.042123738,0.030715226,0.024572181,0.013602457,0.008775779,0.000438789,0.00833699,0.011408513,0.004826678,0.0039491,0,0.007898201,0.004387889,0.006581834,0.007459412,0.003071523,0.004387889,0,0.000438789,0.000438789,0.005704256,0.001755156,0.0039491,0.005704256,0,0.001316367,0,0.000877578,0,0,0,0,0.002193945,1924
T13-06,0.2004662,0.160839161,0.18026418,0.142968143,0.050505051,0.003108003,0.073038073,0.034965035,0.024087024,0.019425019,0.011655012,0.007770008,0,0.003108003,0.009324009,0.008547009,0.007770008,0,0.004662005,0.006993007,0.004662005,0.008547009,0.006216006,0.004662005,0,0.001554002,0.003108003,0.003885004,0.001554002,0.005439005,0.001554002,0,0,0.003885004,0.002331002,0,0,0,0,0.003108003,1924
T13-06b,0.196891192,0.172711572,0.172711572,0.126079447,0.06044905,0.029360967,0.041450777,0.04835924,0.027633851,0.020725389,0.005181347,0.017271157,0.003454231,0.001727116,0.010362694,0.001727116,0.005181347,0.005181347,0.006908463,0.003454231,0.005181347,0.005181347,0.003454231,0.005181347,0,0,0,0.005181347,0.001727116,0.005181347,0.005181347,0,0.003454231,0,0,0.001727116,0,0,0,0.001727116,1924
T13-12,0.206993007,0.178088578,0.183682984,0.151048951,0.036829837,0.001864802,0.072261072,0.045687646,0.016317016,0.014452214,0.014918415,0.001864802,0,0.006993007,0.010722611,0.003729604,0.010722611,0.0004662,0.005128205,0.007459207,0.002331002,0.0004662,0.004662005,0.003729604,0.01025641,0,0,0.001398601,0,0.003263403,0.000932401,0,0,0.0004662,0,0,0.000932401,0.0004662,0,0.001864802,1924
T14-01,0.185096154,0.161057692,0.209134615,0.144230769,0.045673077,0,0.052884615,0.021634615,0.021634615,0.026442308,0.016826923,0.016826923,0,0.004807692,0.012019231,0,0.004807692,0,0.009615385,0,0.004807692,0.004807692,0.012019231,0.009615385,0,0.002403846,0,0.004807692,0,0.014423077,0,0,0.002403846,0.007211538,0,0,0,0,0,0.004807692,1925
T14-01b,0.199643494,0.163101604,0.182709447,0.137254902,0.063279857,0.00802139,0.057040998,0.032976827,0.03030303,0.024064171,0.020499109,0.009803922,0,0.007130125,0.00802139,0.005347594,0.003565062,0.001782531,0.006238859,0.002673797,0.005347594,0.006238859,0.003565062,0.002673797,0,0.000891266,0.001782531,0.003565062,0.002673797,0.000891266,0.002673797,0,0.001782531,0.001782531,0,0,0,0,0,0.002673797,1925
T14-04,0.185758514,0.150928793,0.174148607,0.131578947,0.066563467,0.013931889,0.068885449,0.037151703,0.020897833,0.026315789,0.010835913,0.01006192,0.000773994,0.01006192,0.006965944,0.004643963,0.011609907,0,0.00619195,0.006965944,0.007739938,0.01006192,0.004643963,0.003095975,0,0,0,0.004643963,0.002321981,0.001547988,0.013157895,0,0,0.004643963,0,0.000773994,0,0,0,0.003095975,1925
T14-04b,0.212264151,0.106132075,0.156839623,0.155660377,0.086084906,0.031839623,0.056603774,0.018867925,0.025943396,0.030660377,0.012971698,0.001179245,0.007075472,0.009433962,0.003537736,0.005896226,0.005896226,0.016509434,0.008254717,0.003537736,0.005896226,0.007075472,0.005896226,0.004716981,0,0.002358491,0.003537736,0.004716981,0.002358491,0.005896226,0,0,0,0,0,0,0,0,0,0.002358491,1925
T14-08,0.152054795,0.156164384,0.189041096,0.160273973,0.068493151,0.009589041,0.057534247,0.042465753,0.042465753,0.020547945,0.008219178,0.016438356,0,0.01369863,0.008219178,0.002739726,0.004109589,0,0.005479452,0.004109589,0.009589041,0.002739726,0.005479452,0.002739726,0,0.001369863,0,0.008219178,0.002739726,0,0,0,0,0.002739726,0.001369863,0,0,0,0,0.001369863,1925
T15-01,0.178571429,0.144957983,0.18697479,0.172268908,0.039915966,0.010504202,0.06512605,0.044117647,0.033613445,0.014705882,0.012605042,0.012605042,0.006302521,0.010504202,0.012605042,0.00210084,0.004201681,0,0.008403361,0.008403361,0.008403361,0,0.00210084,0.004201681,0.00210084,0,0,0.006302521,0.00210084,0,0,0,0,0,0,0,0,0,0,0.006302521,1926
T15-10,0.252873563,0.141762452,0.164750958,0.118773946,0.066411239,0.021711367,0.038314176,0.025542784,0.021711367,0.022988506,0.012771392,0.010217114,0.008939974,0.012771392,0.011494253,0.006385696,0.006385696,0.003831418,0.007662835,0.002554278,0.005108557,0,0.002554278,0.001277139,0.010217114,0.006385696,0.003831418,0.003831418,0,0.002554278,0.002554278,0,0.002554278,0,0,0,0,0,0,0.001277139,1926
T15-11,0.193126023,0.157119476,0.201309329,0.166939444,0.032733224,0.01309329,0.034369885,0.034369885,0.021276596,0.019639935,0.018003273,0.011456628,0.003273322,0.016366612,0.009819967,0.001636661,0.006546645,0.003273322,0.008183306,0.008183306,0.011456628,0.006546645,0.003273322,0,0,0.003273322,0.001636661,0.008183306,0,0,0.003273322,0,0,0,0,0,0.001636661,0,0,0,1926
T15-11b,0.175746924,0.149384886,0.205623902,0.168717047,0.04745167,0.029876977,0.052724077,0.036906854,0.007029877,0.019332162,0.012302285,0.012302285,0.003514938,0.007029877,0.007029877,0,0.005272408,0,0,0.008787346,0.010544815,0.012302285,0.001757469,0.001757469,0,0.005272408,0,0.010544815,0,0.003514938,0,0,0,0,0,0,0,0,0,0.005272408,1926
S02-00,0.189042582,0.184431787,0.177108761,0.166531055,0.03878492,0.010306482,0.045294277,0.036615134,0.033631679,0.024138866,0.012476268,0.011933822,0.00081367,0.012476268,0.008950366,0.00081367,0.004882018,0,0.005966911,0.003254679,0.007051804,0.000542446,0.003525902,0.002983455,0.010848929,0.00081367,0,0.001627339,0.000271223,0.001084893,0.001084893,0,0,0.000542446,0.000271223,0,0.000271223,0.00081367,0,0.00081367,1927
S2-00b,0.154929577,0.147345612,0.192849404,0.193932828,0.03900325,0.007583965,0.066088841,0.043336945,0.022751896,0.02383532,0.017334778,0.010834236,0.002166847,0.009750813,0.009750813,0.002166847,0.008667389,0,0.006500542,0.007583965,0.008667389,0.009750813,0,0.003250271,0,0.003250271,0,0,0.002166847,0.001083424,0,0,0.001083424,0.001083424,0.001083424,0,0,0,0,0.002166847,1927
S2-00c,0.152256661,0.161500816,0.193583469,0.167482327,0.052202284,0.023926047,0.068515498,0.034257749,0.019575856,0.014681892,0.01576944,0.008156607,0.001087548,0.013050571,0.009244154,0.003806417,0.003262643,0.001631321,0.008156607,0.006525285,0.009244154,0,0.00435019,0.003262643,0.007612833,0.001087548,0.001087548,0.008156607,0.001631321,0.001087548,0.001087548,0,0.000543774,0.001087548,0,0.000543774,0,0,0,0.000543774,1927
S2-02,0.18839779,0.155248619,0.175138122,0.135359116,0.066574586,0.02320442,0.049171271,0.027624309,0.027624309,0.022099448,0.013812155,0.012983425,0.003867403,0.01160221,0.01160221,0.00441989,0.00441989,0.012154696,0.004143646,0.003314917,0.007734807,0.011325967,0.004143646,0.002486188,0,0.000276243,0.001657459,0.005801105,0.003314917,0.002209945,0.001657459,0,0.000276243,0.001104972,0,0.000828729,0,0.000276243,0,0.004143646,1927
S2-03,0.171492205,0.187082405,0.173719376,0.140311804,0.051224944,0.002227171,0.053452116,0.035634744,0.028953229,0.020044543,0.022271715,0.024498886,0,0.008908686,0.006681514,0.002227171,0.011135857,0,0.004454343,0.008908686,0.006681514,0.006681514,0.004454343,0.008908686,0,0.002227171,0,0.006681514,0,0,0.008908686,0,0,0.002227171,0,0,0,0,0,0,1927
S2-05,0.207815813,0.124810663,0.171766131,0.166919115,0.058164193,0.007270524,0.066949409,0.033020297,0.028173281,0.026961527,0.009996971,0.008482278,0.011814602,0.010602848,0.017267495,0.004847016,0.004544078,0.000605877,0.004847016,0.003938201,0.000908816,0,0.003332324,0,0.008785217,0,0.000302939,0.006361709,0.000302939,0.00212057,0.00212057,0.000605877,0.000302939,0,0.001514693,0,0,0,0,0.004544078,1927
S2-06,0.238372093,0.162790698,0.174418605,0.191860465,0.031976744,0.005813953,0.043604651,0.046511628,0.020348837,0.00872093,0.00872093,0.002906977,0,0.005813953,0.002906977,0.005813953,0.00872093,0,0,0.005813953,0.00872093,0.01744186,0,0,0,0.002906977,0,0.002906977,0,0,0,0,0,0,0,0.002906977,0,0,0,0,1927
S2-07,0.227344159,0.165531692,0.202200105,0.157674175,0.037192247,0.012048193,0.039287585,0.036144578,0.014143531,0.017810372,0.016238869,0.014667365,0.001047669,0.006286014,0.010476689,0.001047669,0.005762179,0.001047669,0.004190676,0.002095338,0.007333683,0,0.002095338,0.006809848,0.005238345,0.001571503,0.001047669,0.001571503,0,0.000523834,0.001047669,0,0,0.000523834,0,0,0,0,0,0,1927
S2-08,0.19816273,0.156167979,0.174540682,0.192913386,0.040682415,0.014435696,0.051181102,0.036745407,0.026246719,0.014435696,0.011811024,0.007874016,0,0.00656168,0.003937008,0.005249344,0.009186352,0,0.00656168,0.003937008,0.009186352,0.007874016,0.003937008,0.001312336,0,0.001312336,0.001312336,0.009186352,0.001312336,0,0,0,0,0.001312336,0,0.001312336,0,0,0,0.001312336,1927
S2-08b,0.230387737,0.142019838,0.208746619,0.170874662,0.040577096,0.000450857,0.060414788,0.029756537,0.004959423,0.011271416,0.013074842,0.00270514,0.003155996,0.006311993,0.017132552,0.004508566,0.007664563,0,0.004508566,0.009918846,0.002254283,0,0.00270514,0.003155996,0.011271416,0.001803427,0.00135257,0.000450857,0,0.003606853,0,0.000450857,0.000450857,0.00135257,0,0.000450857,0,0.000901713,0,0.00135257,1927
S2-11,0.20894239,0.145313844,0.20894239,0.1711092,0.048151333,0.000859845,0.068787618,0.051590714,0.00171969,0.016337059,0.008598452,0.00171969,0.00171969,0.003439381,0.015477214,0.00171969,0.010318143,0.00171969,0.000859845,0.008598452,0,0,0.000859845,0.006878762,0.007738607,0.000859845,0,0.002579536,0,0.002579536,0.00171969,0,0,0.000859845,0,0,0,0,0,0,1927
