"Word1","hana2","jigokuhen_shinji2","kaeru2","kaigara2","karenosho2","kiseru2","onna2","rashomon2","sarano_hana2","torokko2","anitachi2","asa2","asamasiki_mono2","hashire_merosu2","kirigirisu2","ningen_shikkaku2","onnano_ketto2","sekibetsu2","soseiki2","uso2"
"に",144,662,51,179,256,144,57,138,7,139,172,68,26,207,287,1689,815,2141,153,164
"て",127,378,15,63,123,122,30,129,0,72,197,72,42,236,319,1600,950,2079,204,203
"は",149,534,37,138,160,133,46,110,4,126,163,56,44,267,287,1360,765,1992,107,200
"を",153,494,28,119,193,168,47,155,2,92,138,51,33,220,171,1138,649,1460,74,113
"が",85,410,24,38,79,82,17,81,1,53,94,31,15,97,162,846,441,1149,40,114
"と",63,415,15,61,97,81,32,64,2,51,77,27,20,73,124,626,334,926,75,84
"も",52,251,19,49,67,35,11,35,2,41,52,26,17,74,127,665,255,796,75,91
"で",43,138,8,13,49,30,6,29,0,14,54,29,10,55,85,445,243,558,30,53
"か",5,140,12,15,21,25,3,17,1,9,12,11,2,25,30,197,113,377,37,35
"から",24,99,1,14,23,18,3,22,0,12,28,8,4,28,51,264,108,301,15,32
"へ",20,147,5,22,36,16,11,24,1,26,19,3,3,6,29,74,42,56,22,19
"という",0,0,0,0,0,0,0,2,0,0,27,2,1,6,12,172,76,231,7,21
"の",15,61,4,6,23,9,3,17,0,11,5,4,3,13,25,107,76,95,11,9
"ば",12,17,1,8,7,6,0,14,1,7,5,0,0,15,11,71,49,130,26,7
"ながら",16,72,4,5,20,14,6,20,0,18,8,5,3,8,5,67,29,51,6,7
"など",2,23,0,4,2,0,0,4,0,2,7,3,1,2,9,83,17,100,10,8
"まで",8,30,0,3,8,5,3,8,0,7,6,4,0,12,10,54,34,47,5,8
"でも",3,29,0,1,6,6,0,4,0,3,7,0,0,10,15,60,21,71,7,8
"だけ",9,9,0,5,1,1,0,4,0,2,1,1,0,6,12,71,33,76,10,5
"ね",0,1,0,0,0,0,0,0,0,1,4,10,5,1,10,49,34,109,6,3
"ばかり",5,31,1,4,6,4,1,11,0,1,6,1,0,5,20,45,17,44,3,4
"より",7,28,2,2,4,4,2,4,0,3,1,3,3,3,3,52,19,51,13,5
"ので",5,12,0,1,7,3,0,2,0,0,15,3,0,1,13,57,18,59,3,2
"よ",0,0,0,4,3,6,0,4,0,0,1,4,2,8,7,62,9,53,5,6
"な",2,60,2,7,6,3,0,6,0,2,1,0,1,6,2,23,12,27,1,6
"さえ",8,0,0,0,0,7,2,5,0,3,2,0,2,3,7,59,12,43,8,3
"として",1,11,0,3,10,2,0,4,0,0,2,0,0,5,0,35,25,56,3,4
"ほど",5,1,0,0,0,4,2,3,0,0,0,0,0,4,11,55,16,34,3,5
"や",6,12,2,6,5,1,0,2,0,4,8,3,0,1,3,30,10,41,6,2
"くらい",2,0,0,0,0,2,1,1,0,0,1,2,0,2,6,44,11,48,5,4
"たり",2,6,0,3,1,0,0,4,0,6,8,2,1,0,4,41,14,33,2,1
"かも",1,5,0,0,3,3,0,2,0,0,0,0,0,1,2,35,16,44,0,4
"し",0,15,0,1,0,1,0,0,0,0,1,3,1,0,13,30,5,30,2,5
"じゃ",0,0,0,0,0,3,0,1,0,0,3,1,0,0,3,31,6,47,6,2
"のに",1,3,0,1,2,3,1,1,0,2,1,1,0,1,9,23,11,23,2,2
"こそ",0,4,0,0,0,1,0,0,0,0,1,0,1,2,2,24,9,23,8,1
"やら",0,3,0,0,3,0,0,0,0,0,0,0,0,2,8,16,11,30,0,2
"だって",0,0,0,0,0,0,0,0,0,0,1,0,0,4,10,12,11,24,0,2
"とか",0,12,0,0,0,0,0,6,0,0,0,1,0,0,4,7,4,20,1,2
"にとって",3,0,0,0,0,4,0,1,0,0,1,0,0,0,2,22,7,13,2,0
"とも",1,8,0,2,2,2,0,1,0,4,1,0,2,1,1,8,5,8,2,1
"けれども",1,0,0,1,0,0,0,0,0,0,2,2,1,0,1,18,5,15,0,1
"に対して",1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,9,11,19,0,1
"に対する",1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,12,7,17,0,0
"なんか",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,0,22,0,5
"さ",0,5,0,0,0,4,0,0,0,0,0,1,1,2,0,10,1,9,3,3
"ぞ",1,5,0,0,0,1,0,3,1,0,2,0,1,8,2,4,0,7,4,0
"って",0,0,0,0,0,3,0,0,0,0,1,1,0,1,2,14,3,10,0,4
"かしら",0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,11,3,16,0,0
"なんて",0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,10,6,10,0,0
"だの",0,1,0,0,0,0,0,0,0,2,1,0,0,3,0,4,2,14,0,3
"わ",0,0,0,0,1,0,0,1,0,0,0,5,2,0,1,16,2,0,2,0
"ずつ",0,0,0,0,0,1,0,5,0,0,0,2,0,2,0,6,6,6,1,0
"ノ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0
"ねえ",0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,1,8,3,3
"けれど",0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,6,6,0,0
"しか",0,6,1,0,0,1,0,0,0,1,1,0,0,0,0,6,2,5,0,0
"とかいう",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,10,0,10,0,0
"について",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,11,4,2,0
"と共に",0,1,1,0,1,0,0,1,0,1,0,0,0,2,0,3,3,6,0,1
"のみ",1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,6,7,0
"程",1,9,0,0,2,0,0,1,0,2,0,0,0,0,0,0,4,1,0,0
"けど",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0
"ぜ",0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,10,0,4,0,0
"なあ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,5,1,0
"を以て",0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,5,8,0,0
"において",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"ものの",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,9,0,1
"かい",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,2,1,0
"なり",2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,6,2,1,0,0
"ちゃ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,4,0,1
"デ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"け",0,5,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,1
"どころか",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,5,1,0
"にて",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0
"ヲ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"なぞ",2,5,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"迄",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,0
"つつ",0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,4,0,1,0
"によって",1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"だり",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0
"っと",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,1,0
"ど",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,2,0,0
"のう",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4
"たって",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0
"べ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
"しも",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"といった",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0
"にかけて",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"わい",0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0
"じゃあ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
"ども",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"における",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"につれて",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"に対し",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"に従って",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
"んで",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
"に関する",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"ん",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"すら",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"なんぞ",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ナ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ヨ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"および",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"だに",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"っていう",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ってな",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ていう",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"にあたって",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"にあたり",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"にとり",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"にわたり",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ねん",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ばっか",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"やいなや",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"をめぐって",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"を通じて",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ネ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ヘ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"之",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
